name,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,ovr,new_ovr,diff,hgt_auto,stre_auto,spd_auto,jmp_auto,endu_auto,ins_auto,dnk_auto,ft_auto,fg_auto,tp_auto,diq_auto,oiq_auto,drb_auto,pss_auto,reb_auto,ovr_auto,new_ovr_auto,diff_auto,AUTOdiff
Dylan Windler,44,38,54,60,39,32,43,46,50,61,31,39,42,43,39,43.683080000000004,45.815533266350116,2.1324532663501117,44,38,54,60,39,32,43,46,50,61,31,39,42,43,39,43.683080000000004,45.815533266350116,2.1324532663501117,0.0
Dzanan Musa,57,48,50,42,37,30,56,51,67,66,43,42,41,39,50,48.08128,47.36826178149302,-0.7130182185069813,57,48,50,42,37,30,56,51,67,66,43,42,41,39,50,48.08128,47.36826178149302,-0.7130182185069813,0.0
E'Twaun Moore,37,25,51,55,50,36,73,52,73,73,46,55,49,47,50,49.04598,47.628786376861186,-1.4171936231388145,37,25,51,55,50,36,73,52,73,73,46,55,49,47,50,49.04598,47.628786376861186,-1.4171936231388145,0.0
EJ Montgomery,59,46,47,51,36,55,57,19,21,29,53,35,30,22,65,43.92768,44.42546284815927,0.4977828481592681,59,46,47,51,36,55,57,19,21,29,53,35,30,22,65,43.92768,44.42546284815927,0.4977828481592681,0.0
Ed Davis,65,72,49,46,27,52,53,46,36,0,55,45,40,27,72,47.37988,45.78230805631029,-1.597571943689708,65,72,49,46,27,52,53,46,36,0,55,45,40,27,72,47.37988,45.78230805631029,-1.597571943689708,0.0
Edmond Sumner,41,31,61,61,31,15,55,47,50,46,29,40,66,69,26,44.84178,47.685978124256216,2.8441981242562164,41,31,61,61,31,15,55,47,50,46,29,40,66,69,26,44.84178,47.685978124256216,2.8441981242562164,0.0
Ekpe Udoh,60,75,43,51,46,58,55,61,30,0,63,53,26,22,63,49.02158,45.20566696204294,-3.81591303795706,60,75,43,51,46,58,55,61,30,0,63,53,26,22,63,49.02158,45.20566696204294,-3.81591303795706,0.0
Elfrid Payton,33,32,65,53,45,36,67,57,62,34,45,50,56,49,70,47.15888,46.838597176851934,-0.32028282314806944,33,32,65,53,45,36,67,57,62,34,45,50,56,49,70,47.15888,46.838597176851934,-0.32028282314806944,0.0
Elie Okobo,33,19,68,55,33,28,61,29,51,52,39,45,66,63,55,45.90918,48.49576556612693,2.586585566126928,33,19,68,55,33,28,61,29,51,52,39,45,66,63,55,45.90918,48.49576556612693,2.586585566126928,0.0
Emanuel Terry,56,55,43,46,38,39,53,58,56,50,39,42,20,43,77,45.41278,45.04762192737667,-0.36515807262333055,56,55,43,46,38,39,53,58,56,50,39,42,20,43,77,45.41278,45.04762192737667,-0.36515807262333055,0.0
Emmanuel Mudiay,33,50,71,76,52,43,74,52,60,49,38,40,59,50,62,49.88328,52.445566332547955,2.5622863325479557,33,50,71,76,52,43,74,52,60,49,38,40,59,50,62,49.88328,52.445566332547955,2.5622863325479557,0.0
Emoni Bates,54,31,62,64,55,58,70,52,49,51,43,58,55,45,66,53.00938,54.07037945864949,1.0609994586494906,54,31,62,64,55,58,70,52,49,51,43,58,55,45,66,53.00938,54.07037945864949,1.0609994586494906,0.0
Enes Kanter,66,74,50,58,51,86,75,48,73,0,28,70,34,36,92,50.85008,48.406426618001724,-2.443653381998274,66,74,50,58,51,86,75,48,73,0,28,70,34,36,92,50.85008,48.406426618001724,-2.443653381998274,0.0
Eric Bledsoe,26,58,68,68,59,53,82,55,68,62,55,60,63,63,54,56.82148,55.948280076879186,-0.873199923120815,26,58,68,68,59,53,82,55,68,62,55,60,63,63,54,56.82148,55.948280076879186,-0.873199923120815,0.0
Eric Gordon,36,36,66,51,67,40,80,55,82,64,28,62,55,52,31,50.74788,49.42127954333319,-1.3266004566668101,36,36,66,51,67,40,80,55,82,64,28,62,55,52,31,50.74788,49.42127954333319,-1.3266004566668101,0.0
Eric Mika,60,74,29,57,39,54,45,35,33,0,38,55,43,47,72,45.18788,43.56490772476497,-1.6229722752350284,60,74,29,57,39,54,45,35,33,0,38,55,43,47,72,45.18788,43.56490772476497,-1.6229722752350284,0.0
Eric Moreland,59,54,36,47,40,59,58,0,35,0,45,48,37,38,55,42.73688,40.23119048789141,-2.5056895121085887,59,54,36,47,40,59,58,0,35,0,45,48,37,38,55,42.73688,40.23119048789141,-2.5056895121085887,0.0
Eric Paschall,48,66,60,60,55,67,68,52,65,50,40,53,48,38,59,52.40948,52.040724677917474,-0.3687553220825279,48,66,60,60,55,67,68,52,65,50,40,53,48,38,59,52.40948,52.040724677917474,-0.3687553220825279,0.0
Ersan Ilyasova,59,33,47,48,33,58,56,73,68,66,49,50,30,29,68,48.65418,47.693646968717985,-0.9605330312820115,59,33,47,48,33,58,56,73,68,66,49,50,30,29,68,48.65418,47.693646968717985,-0.9605330312820115,0.0
Ethan Thompson,40,37,49,51,30,39,40,55,55,39,35,36,32,52,51,40.288579999999996,40.9239995607928,0.6354195607928048,40,37,49,51,30,39,40,55,55,39,35,36,32,52,51,40.288579999999996,40.9239995607928,0.6354195607928048,0.0
Evan Fournier,48,39,63,68,56,48,85,60,85,63,39,57,60,44,34,53.90698,53.09381699832446,-0.8131630016755338,48,39,63,68,56,48,85,60,85,63,39,57,60,44,34,53.90698,53.09381699832446,-0.8131630016755338,0.0
Evan Mobley,63,40,47,58,32,65,59,45,54,36,44,47,47,42,66,48.16628,48.439315118011386,0.2730351180113857,63,40,47,58,32,65,59,45,54,36,44,47,47,42,66,48.16628,48.439315118011386,0.2730351180113857,0.0
Evan Turner,48,39,53,51,50,40,55,42,65,21,38,49,65,50,60,46.56318,45.24158058031953,-1.3215994196804743,48,39,53,51,50,40,55,42,65,21,38,49,65,50,60,46.56318,45.24158058031953,-1.3215994196804743,0.0
Filip Petrusev,63,44,42,42,39,70,72,65,55,32,50,35,26,28,59,45.22788,43.28660510818878,-1.9412748918112186,63,44,42,42,39,70,72,65,55,32,50,35,26,28,59,45.22788,43.28660510818878,-1.9412748918112186,0.0
Fousseyni Drame,48,60,48,49,31,56,57,69,30,40,43,44,24,30,60,44.58168,45.19311229900311,0.6114322990031127,48,60,48,49,31,56,57,69,30,40,43,44,24,30,60,44.58168,45.19311229900311,0.6114322990031127,0.0
Frank Jackson,29,31,67,64,30,42,58,46,52,55,30,46,62,48,32,44.31978,47.414541941196916,3.0947619411969143,29,31,67,64,30,42,58,46,52,55,30,46,62,48,32,44.31978,47.414541941196916,3.0947619411969143,0.0
Frank Kaminsky,68,54,45,35,39,60,56,57,40,56,35,46,50,43,23,48.72308,48.80896272236697,0.08588272236696781,68,54,45,35,39,60,56,57,40,56,35,46,50,43,23,48.72308,48.80896272236697,0.08588272236696781,0.0
Frank Mason III,18,36,52,49,44,27,58,62,58,57,47,41,65,61,35,44.62448,43.87587624700615,-0.7486037529938514,18,36,52,49,44,27,58,62,58,57,47,41,65,61,35,44.62448,43.87587624700615,-0.7486037529938514,0.0
Frank Ntilikina,43,31,65,57,41,20,52,45,40,40,51,49,62,59,40,49.45998,50.182243180564036,0.7222631805640347,43,31,65,57,41,20,52,45,40,40,51,49,62,59,40,49.45998,50.182243180564036,0.7222631805640347,0.0
Franz Wagner,56,19,61,29,38,36,58,25,52,60,21,33,58,53,17,42.29018,44.547741982164304,2.2575619821643045,56,19,61,29,38,36,58,25,52,60,21,33,58,53,17,42.29018,44.547741982164304,2.2575619821643045,0.0
Fred VanVleet,24,46,61,62,73,68,69,64,72,69,55,68,66,68,62,57.46708,55.34140402427922,-2.1256759757207817,24,46,61,62,73,68,69,64,72,69,55,68,66,68,62,57.46708,55.34140402427922,-2.1256759757207817,0.0
Furkan Korkmaz,48,34,55,45,43,43,59,64,48,56,48,49,59,46,54,49.56788,49.594461066700426,0.02658106670042315,48,34,55,45,43,43,59,64,48,56,48,49,59,46,54,49.56788,49.594461066700426,0.02658106670042315,0.0
Gabe Vincent,33,30,61,48,34,24,63,65,50,59,30,55,52,40,39,44.32828,45.62397153231441,1.2956915323144074,33,30,61,48,34,24,63,65,50,59,30,55,52,40,39,44.32828,45.62397153231441,1.2956915323144074,0.0
Garrett Temple,44,39,54,54,50,33,64,52,61,64,47,59,57,38,29,50.89118,49.25374135454967,-1.637438645450331,44,39,54,54,50,33,64,52,61,64,47,59,57,38,29,50.89118,49.25374135454967,-1.637438645450331,0.0
Garrison Brooks,57,57,42,45,38,63,46,30,64,0,53,48,21,27,70,43.56078,39.10295108780414,-4.457828912195858,57,57,42,45,38,63,46,30,64,0,53,48,21,27,70,43.56078,39.10295108780414,-4.457828912195858,0.0
Garrison Mathews,41,41,56,35,36,38,57,64,60,57,20,33,32,28,35,38.76278,39.902955496191154,1.140175496191155,41,41,56,35,36,38,57,64,60,57,20,33,32,28,35,38.76278,39.902955496191154,1.140175496191155,0.0
Gary Clark,52,51,59,58,33,36,50,64,29,50,53,35,42,45,64,49.04458,51.44513201488682,2.40055201488682,52,51,59,58,33,36,50,64,29,50,53,35,42,45,64,49.04458,51.44513201488682,2.40055201488682,0.0
Gary Harris,43,45,63,60,65,63,75,64,76,63,52,63,60,56,30,57.20178,54.80000655431696,-2.401773445683041,43,45,63,60,65,63,75,64,76,63,52,63,60,56,30,57.20178,54.80000655431696,-2.401773445683041,0.0
Gary Payton II,28,44,56,49,35,22,54,18,53,40,33,43,60,56,65,42.143879999999996,43.268187751280976,1.1243077512809805,28,44,56,49,35,22,54,18,53,40,33,43,60,56,65,42.143879999999996,43.268187751280976,1.1243077512809805,0.0
Gary Trent Jr,44,27,61,46,39,25,56,52,43,60,37,41,56,52,33,45.78158,47.64809809776841,1.866518097768413,44,27,61,46,39,25,56,52,43,60,37,41,56,52,33,45.78158,47.64809809776841,1.866518097768413,0.0
George Hill,30,30,65,57,69,29,66,57,67,77,40,55,72,56,24,52.09028,51.73399965221007,-0.35628034778992657,30,30,65,57,69,29,66,57,67,77,40,55,72,56,24,52.09028,51.73399965221007,-0.35628034778992657,0.0
George King,44,38,53,58,38,43,58,41,50,58,44,43,38,31,48,45.35268,45.94923694976301,0.5965569497630128,44,38,53,58,38,43,58,41,50,58,44,43,38,31,48,45.35268,45.94923694976301,0.5965569497630128,0.0
Georges Niang,48,61,44,42,36,60,49,65,60,50,45,39,37,42,50,45.95718,44.66462082265112,-1.2925591773488776,48,61,44,42,36,60,49,65,60,50,45,39,37,42,50,45.95718,44.66462082265112,-1.2925591773488776,0.0
Georgios Kalaitzakis,52,20,60,44,27,26,52,40,57,51,18,51,58,51,33,43.03368,45.34136070598458,2.3076807059845805,52,20,60,44,27,26,52,40,57,51,18,51,58,51,33,43.03368,45.34136070598458,2.3076807059845805,0.0
Georgios Papagiannis,76,84,21,42,35,66,57,72,47,0,52,44,19,28,70,46.03788,41.44006670577151,-4.597813294228494,76,84,21,42,35,66,57,72,47,0,52,44,19,28,70,46.03788,41.44006670577151,-4.597813294228494,0.0
Gerald Green,48,34,57,85,38,40,76,60,67,71,41,42,45,28,37,49.02848,50.998213894962106,1.9697338949621042,48,34,57,85,38,40,76,60,67,71,41,42,45,28,37,49.02848,50.998213894962106,1.9697338949621042,0.0
Giannis Antetokounmpo,72,85,75,68,83,93,95,25,90,41,36,77,58,63,85,66.83138,65.38551431965001,-1.445865680349982,72,85,75,68,83,93,95,25,90,41,36,77,58,63,85,66.83138,65.38551431965001,-1.445865680349982,0.0
Glenn Robinson III,45,33,54,68,41,58,63,67,66,60,40,55,45,42,52,49.20318,49.64544968036345,0.44226968036344516,45,33,54,68,41,58,63,67,66,60,40,55,45,42,52,49.20318,49.64544968036345,0.44226968036344516,0.0
Goga Bitadze,63,60,41,43,39,66,50,40,59,40,43,45,39,39,70,47.61128,46.23959713477939,-1.3716828652206132,63,60,41,43,39,66,50,40,59,40,43,45,39,39,70,47.61128,46.23959713477939,-1.3716828652206132,0.0
Goran Dragic,35,39,55,55,58,63,86,47,85,63,32,66,67,62,64,52.187380000000005,51.05164909508545,-1.1357309049145528,35,39,55,55,58,63,86,47,85,63,32,66,67,62,64,52.187380000000005,51.05164909508545,-1.1357309049145528,0.0
Gordon Hayward,54,53,61,63,57,47,72,65,85,73,39,63,66,47,60,57.55158,57.06611695861723,-0.4854630413827721,54,53,61,63,57,47,72,65,85,73,39,63,66,47,60,57.55158,57.06611695861723,-0.4854630413827721,0.0
Gorgui Dieng,66,76,40,63,38,65,67,55,50,29,63,45,19,24,79,51.21328,48.836066012531184,-2.3772139874688136,66,76,40,63,38,65,67,55,50,29,63,45,19,24,79,51.21328,48.836066012531184,-2.3772139874688136,0.0
Grant Riller,33,26,62,44,39,28,53,59,52,51,25,52,56,52,33,43.06088,44.35102196582085,1.290141965820851,33,26,62,44,39,28,53,59,52,51,25,52,56,52,33,43.06088,44.35102196582085,1.290141965820851,0.0
Grant Williams,50,68,43,56,36,71,60,59,50,33,39,50,36,45,66,47.20388,46.805294713691964,-0.3985852863080339,50,68,43,56,36,71,60,59,50,33,39,50,36,45,66,47.20388,46.805294713691964,-0.3985852863080339,0.0
Grayson Allen,35,25,67,75,38,29,64,52,60,40,34,51,49,40,29,45.00218,46.37465935817511,1.3724793581751058,35,25,67,75,38,29,64,52,60,40,34,51,49,40,29,45.00218,46.37465935817511,1.3724793581751058,0.0
Greg Brown,56,40,53,56,38,39,53,48,56,40,44,42,20,43,57,45.65428,45.390004893809554,-0.26427510619044625,56,40,53,56,38,39,53,48,56,40,44,42,20,43,57,45.65428,45.390004893809554,-0.26427510619044625,0.0
Greg Monroe,63,85,20,30,40,70,65,45,40,0,44,52,40,38,75,44.99438,40.491623902790906,-4.502756097209094,63,85,20,30,40,70,65,45,40,0,44,52,40,38,75,44.99438,40.491623902790906,-4.502756097209094,0.0
Guerschon Yabusele,59,70,40,63,42,60,62,54,41,39,51,40,37,27,63,48.81168,48.33810290301076,-0.47357709698924566,59,70,40,63,42,60,62,54,41,39,51,40,37,27,63,48.81168,48.33810290301076,-0.47357709698924566,0.0
Gytis Masiulis,56,44,40,52,35,57,65,60,54,33,38,44,42,42,50,44.73468,44.01287879018358,-0.7218012098164195,56,44,40,52,35,57,65,60,54,33,38,44,42,42,50,44.73468,44.01287879018358,-0.7218012098164195,0.0
Hamidou Diallo,41,45,61,74,47,59,70,62,46,35,38,48,48,38,75,48.05258,50.1285315551119,2.0759515551118994,41,45,61,74,47,59,70,62,46,35,38,48,48,38,75,48.05258,50.1285315551119,2.0759515551118994,0.0
Harrison Barnes,53,62,61,65,72,56,68,63,77,65,34,59,54,46,59,56.332679999999996,55.886393014148155,-0.4462869858518417,53,62,61,65,72,56,68,63,77,65,34,59,54,46,59,56.332679999999996,55.886393014148155,-0.4462869858518417,0.0
Harry Giles,60,68,56,69,36,63,51,62,49,0,47,50,34,55,62,50.08648,49.55775652030329,-0.5287234796967084,60,68,56,69,36,63,51,62,49,0,47,50,34,55,62,50.08648,49.55775652030329,-0.5287234796967084,0.0
Hassan Whiteside,76,80,52,55,44,90,94,0,43,0,53,52,44,22,95,53.21408,51.68587048563143,-1.5282095143685694,76,80,52,55,44,90,94,0,43,0,53,52,44,22,95,53.21408,51.68587048563143,-1.5282095143685694,0.0
Haywood Highsmith,48,45,39,33,40,50,60,48,60,50,42,43,25,31,56,42.46298,40.01919476979471,-2.443785230205293,48,45,39,33,40,50,60,48,60,50,42,43,25,31,56,42.46298,40.01919476979471,-2.443785230205293,0.0
Henri Drell,55,42,47,48,27,42,57,55,34,30,44,40,30,33,50,42.79108,43.0182057061533,0.22712570615330208,55,42,47,48,27,42,57,55,34,30,44,40,30,33,50,42.79108,43.0182057061533,0.22712570615330208,0.0
Henry Ellenson,66,54,38,48,30,52,60,52,44,44,40,42,41,36,55,46.33768,46.44544998543402,0.10776998543401817,66,54,38,48,30,52,60,52,44,44,40,42,41,36,55,46.33768,46.44544998543402,0.10776998543401817,0.0
Ian Clark,33,37,61,60,50,32,69,72,65,75,28,39,51,52,36,46.42978,48.50776016738903,2.077980167389029,33,37,61,60,50,32,69,72,65,75,28,39,51,52,36,46.42978,48.50776016738903,2.077980167389029,0.0
Ian Mahinmi,63,80,43,42,38,68,69,43,48,0,58,53,24,33,86,49.26428,45.30898956066842,-3.955290439331577,63,80,43,42,38,68,69,43,48,0,58,53,24,33,86,49.26428,45.30898956066842,-3.955290439331577,0.0
Ibou Dianko Badji,70,69,50,41,40,60,66,2,19,8,52,48,30,16,67,47.22598,45.913928636142195,-1.3120513638578046,70,69,50,41,40,60,66,2,19,8,52,48,30,16,67,47.22598,45.913928636142195,-1.3120513638578046,0.0
Ignas Brazdeikis,48,45,51,50,34,38,54,50,51,60,35,40,47,38,42,44.86038,46.0933779326547,1.2329979326546976,48,45,51,50,34,38,54,50,51,60,35,40,47,38,42,44.86038,46.0933779326547,1.2329979326546976,0.0
Ike Anigbogu,59,58,32,46,35,58,56,25,38,0,49,52,17,27,65,42.05988,38.457941068391385,-3.601938931608615,59,58,32,46,35,58,56,25,38,0,49,52,17,27,65,42.05988,38.457941068391385,-3.601938931608615,0.0
Iman Shumpert,41,43,57,60,47,28,62,70,50,60,41,43,41,58,25,48.22738,48.87821545034162,0.6508354503416243,41,43,57,60,47,28,62,70,50,60,41,43,41,58,25,48.22738,48.87821545034162,0.6508354503416243,0.0
Isaac Bonga,52,44,56,83,35,34,56,63,39,40,34,38,40,33,55,45.45928,48.99852023994568,3.539240239945677,52,44,56,83,35,34,56,63,39,40,34,38,40,33,55,45.45928,48.99852023994568,3.539240239945677,0.0
Isaac Humphries,66,68,43,51,34,57,55,45,42,40,35,46,12,42,64,46.40248,46.7405467270367,0.33806672703670415,66,68,43,51,34,57,55,45,42,40,35,46,12,42,64,46.40248,46.7405467270367,0.33806672703670415,0.0
Isaiah Briscoe,33,32,56,34,46,33,54,66,63,60,36,36,58,46,40,43.15488,42.96370664617585,-0.1911733538241478,33,32,56,34,46,33,54,66,63,60,36,36,58,46,40,43.15488,42.96370664617585,-0.1911733538241478,0.0
Isaiah Canaan,22,25,68,48,38,20,58,65,60,72,20,51,68,35,15,42.42698,44.55648449920232,2.1295044992023193,22,25,68,48,38,20,58,65,60,72,20,51,68,35,15,42.42698,44.55648449920232,2.1295044992023193,0.0
Isaiah Cousins,43,25,56,46,31,30,44,62,53,54,17,32,64,61,19,40.44578,43.681023489367725,3.2352434893677255,43,25,56,46,31,30,44,62,53,54,17,32,64,61,19,40.44578,43.681023489367725,3.2352434893677255,0.0
Isaiah Hartenstein,63,52,54,55,28,48,52,50,45,41,41,40,44,39,52,47.60248,49.11267432372962,1.5101943237296211,63,52,54,55,28,48,52,50,45,41,41,40,44,39,52,47.60248,49.11267432372962,1.5101943237296211,0.0
Isaiah Hicks,56,52,41,57,36,58,55,55,52,15,49,38,19,27,66,42.92028,41.07977554656447,-1.8405044534355284,56,52,41,57,36,58,55,55,52,15,49,38,19,27,66,42.92028,41.07977554656447,-1.8405044534355284,0.0
Isaiah Jackson,57,35,48,61,31,55,56,56,35,1,56,39,32,34,62,43.73898,42.95519705852949,-0.7837829414705055,57,35,48,61,31,55,56,56,35,1,56,39,32,34,62,43.73898,42.95519705852949,-0.7837829414705055,0.0
Isaiah Joe,40,16,61,57,33,20,53,50,42,66,37,41,47,35,22,43.01408,45.377228619308525,2.363148619308525,40,16,61,57,33,20,53,50,42,66,37,41,47,35,22,43.01408,45.377228619308525,2.363148619308525,0.0
Isaiah Mobley,60,54,52,47,40,59,50,53,61,0,32,46,22,32,68,42.50568,40.89679412287246,-1.6088858771275412,60,54,52,47,40,59,50,53,61,0,32,46,22,32,68,42.50568,40.89679412287246,-1.6088858771275412,0.0
Isaiah Roby,52,50,55,56,33,55,54,53,37,20,45,36,38,36,59,44.42348,45.32597298259287,0.9024929825928751,52,50,55,56,33,55,54,53,37,20,45,36,38,36,59,44.42348,45.32597298259287,0.9024929825928751,0.0
Isaiah Stewart,55,59,57,61,40,61,60,53,55,30,52,40,42,32,66,49.39938,49.12412659437968,-0.27525340562031886,55,59,57,61,40,61,60,53,55,30,52,40,42,32,66,49.39938,49.12412659437968,-0.27525340562031886,0.0
Isaiah Taylor,33,22,69,44,38,28,48,43,55,37,34,54,68,53,16,44.39228,44.53172569058206,0.13944569058205758,33,22,69,44,38,28,48,43,55,37,34,54,68,53,16,44.39228,44.53172569058206,0.13944569058205758,0.0
Isaiah Thomas,11,40,57,56,49,50,73,70,75,56,36,56,68,59,47,46.50708,45.664690115360024,-0.842389884639978,11,40,57,56,49,50,73,70,75,56,36,56,68,59,47,46.50708,45.664690115360024,-0.842389884639978,0.0
Isaiah Todd,61,54,53,61,33,61,66,23,45,35,41,42,21,30,75,46.10308,47.29602082380073,1.1929408238007326,61,54,53,61,33,61,66,23,45,35,41,42,21,30,75,46.10308,47.29602082380073,1.1929408238007326,0.0
Isaiah Whitehead,41,45,54,55,36,23,45,38,38,46,53,44,60,54,32,47.71558,47.83172128530995,0.1161412853099506,41,45,54,55,36,23,45,38,38,46,53,44,60,54,32,47.71558,47.83172128530995,0.1161412853099506,0.0
Ish Smith,22,28,67,57,44,21,64,30,65,56,31,55,68,58,48,45.77788,46.958332647490465,1.180452647490462,22,28,67,57,44,21,64,30,65,56,31,55,68,58,48,45.77788,46.958332647490465,1.180452647490462,0.0
Issuf Sanon,37,29,45,48,22,19,47,62,45,46,36,42,52,50,24,40.28018,40.817592703868094,0.5374127038680925,37,29,45,48,22,19,47,62,45,46,36,42,52,50,24,40.28018,40.817592703868094,0.5374127038680925,0.0
Ivan Rabb,62,39,50,50,30,55,50,58,33,10,40,44,33,32,60,43.00478,43.36537258255197,0.36059258255197335,62,39,50,50,30,55,50,58,33,10,40,44,33,32,60,43.00478,43.36537258255197,0.36059258255197335,0.0
Ivica Zubac,70,63,38,50,38,72,70,61,42,0,52,58,38,39,76,50.040980000000005,47.11149997205918,-2.9294800279408264,70,63,38,50,38,72,70,61,42,0,52,58,38,39,76,50.040980000000005,47.11149997205918,-2.9294800279408264,0.0
J.J. Barea,19,26,67,67,42,52,77,55,68,61,30,58,70,57,56,47.56548,49.675195374971146,2.1097153749711453,19,26,67,67,42,52,77,55,68,61,30,58,70,57,56,47.56548,49.675195374971146,2.1097153749711453,0.0
J.J. Redick,37,44,59,57,56,49,73,75,88,81,40,57,54,44,52,52.78768,51.68906167701293,-1.0986183229870718,37,44,59,57,56,49,73,75,88,81,40,57,54,44,52,52.78768,51.68906167701293,-1.0986183229870718,0.0
J.P. Macura,41,43,45,41,31,38,56,60,47,45,47,41,41,48,21,43.43258,42.00593311388333,-1.4266468861166715,41,43,45,41,31,38,56,60,47,45,47,41,41,48,21,43.43258,42.00593311388333,-1.4266468861166715,0.0
J.R. Smith,44,38,61,57,55,28,79,43,77,72,42,29,59,58,34,49.69148,50.189628265820026,0.4981482658200278,44,38,61,57,55,28,79,43,77,72,42,29,59,58,34,49.69148,50.189628265820026,0.4981482658200278,0.0
Ja Morant,33,40,75,78,58,66,83,55,59,43,37,57,60,63,61,53.19868,55.29421564190193,2.0955356419019253,33,40,75,78,58,66,83,55,59,43,37,57,60,63,61,53.19868,55.29421564190193,2.0955356419019253,0.0
JaKarr Sampson,48,48,48,58,35,33,47,33,51,29,45,45,38,28,55,43.57248,42.66328987513832,-0.9091901248616807,48,48,48,58,35,33,47,33,51,29,45,45,38,28,55,43.57248,42.66328987513832,-0.9091901248616807,0.0
JaMychal Green,54,66,55,64,52,64,75,47,69,45,48,47,37,34,77,52.25828,51.30096401738727,-0.9573159826127267,54,66,55,64,52,64,75,47,69,45,48,47,37,34,77,52.25828,51.30096401738727,-0.9573159826127267,0.0
JaVale McGee,67,70,56,71,46,73,69,72,45,0,52,48,34,36,68,52.30268,51.4014153706492,-0.9012646293508055,67,70,56,71,46,73,69,72,45,0,52,48,34,36,68,52.30268,51.4014153706492,-0.9012646293508055,0.0
Jabari Bird,44,32,56,29,46,28,32,66,63,66,34,44,38,33,25,43.00228,41.89342120278888,-1.10885879721112,44,32,56,29,46,28,32,66,63,66,34,44,38,33,25,43.00228,41.89342120278888,-1.10885879721112,0.0
Jabari Parker,54,59,63,58,64,69,78,55,80,52,30,49,48,48,60,52.83038,52.74276614616862,-0.08761385383137821,54,59,63,58,64,69,78,55,80,52,30,49,48,48,60,52.83038,52.74276614616862,-0.08761385383137821,0.0
Jacob Evans,37,31,50,44,35,29,61,50,62,58,45,44,37,32,36,42.809380000000004,41.35677774586512,-1.452602254134888,37,31,50,44,35,29,61,50,62,58,45,44,37,32,36,42.809380000000004,41.35677774586512,-1.452602254134888,0.0
Jaden Hardy,37,30,76,78,33,28,53,50,49,41,38,38,60,42,28,45.91768,49.5022219113252,3.5845419113252035,37,30,76,78,33,28,53,50,49,41,38,38,60,42,28,45.91768,49.5022219113252,3.5845419113252035,0.0
Jaden McDaniels,60,43,53,54,31,57,55,54,47,41,43,40,40,38,57,46.81178,47.91584311479767,1.1040631147976683,60,43,53,54,31,57,55,54,47,41,43,40,40,38,57,46.81178,47.91584311479767,1.1040631147976683,0.0
Jaden Springer,41,22,57,59,29,39,59,34,42,43,42,45,39,37,45,42.62348,43.94810955269282,1.3246295526928193,41,22,57,59,29,39,59,34,42,43,42,45,39,37,45,42.62348,43.94810955269282,1.3246295526928193,0.0
Jae Crowder,46,80,50,61,58,59,63,39,65,66,53,42,43,49,59,53.836079999999995,52.63627675645336,-1.1998032435466328,46,80,50,61,58,59,63,39,65,66,53,42,43,49,59,53.836079999999995,52.63627675645336,-1.1998032435466328,0.0
Jahlil Okafor,63,57,52,56,41,78,79,52,53,0,28,50,40,44,70,46.428580000000004,46.38516832278299,-0.043411677217015665,63,57,52,56,41,78,79,52,53,0,28,50,40,44,70,46.428580000000004,46.38516832278299,-0.043411677217015665,0.0
Jake Layman,56,34,55,58,41,52,57,48,51,59,39,49,58,40,55,49.50528,51.08235891562656,1.5770789156265579,56,34,55,58,41,52,57,48,51,59,39,49,58,40,55,49.50528,51.08235891562656,1.5770789156265579,0.0
Jakob Poeltl,74,65,38,44,42,70,70,25,42,0,62,51,46,42,63,51.21378,47.21256271350307,-4.0012172864969315,74,65,38,44,42,70,70,25,42,0,62,51,46,42,63,51.21378,47.21256271350307,-4.0012172864969315,0.0
Jalen Brunson,30,43,64,42,48,58,72,46,66,40,37,61,62,59,57,48.75078,47.68850707129592,-1.0622729287040755,30,43,64,42,48,58,72,46,66,40,37,61,62,59,57,48.75078,47.68850707129592,-1.0622729287040755,0.0
Jalen Duren,56,75,55,58,40,59,62,35,24,10,55,48,31,28,64,48.93298,48.28241266174014,-0.6505673382598616,56,75,55,58,40,59,62,35,24,10,55,48,31,28,64,48.93298,48.28241266174014,-0.6505673382598616,0.0
Jalen Green,41,15,62,60,30,29,53,35,52,53,38,44,57,52,29,44.42038,46.43077054682145,2.010390546821448,41,15,62,60,30,29,53,35,52,53,38,44,57,52,29,44.42038,46.43077054682145,2.010390546821448,0.0
Jalen Johnson,52,41,54,59,25,31,55,30,49,39,33,47,50,57,37,45.35458,46.94601508691158,1.5914350869115808,52,41,54,59,25,31,55,30,49,39,33,47,50,57,37,45.35458,46.94601508691158,1.5914350869115808,0.0
Jalen Jones,48,54,56,66,40,41,60,53,61,60,32,46,12,22,71,45.29388,46.604288059951266,1.3104080599512642,48,54,56,66,40,41,60,53,61,60,32,46,12,22,71,45.29388,46.604288059951266,1.3104080599512642,0.0
Jalen Lecque,37,28,61,63,24,20,48,50,40,42,24,26,40,30,30,36.59628,40.62183234982184,4.025552349821837,37,28,61,63,24,20,48,50,40,42,24,26,40,30,30,36.59628,40.62183234982184,4.025552349821837,0.0
Jalen McDaniels,59,37,55,65,28,66,56,40,58,29,42,42,19,31,65,44.415980000000005,45.07212029607566,0.6561402960756553,59,37,55,65,28,66,56,40,58,29,42,42,19,31,65,44.415980000000005,45.07212029607566,0.6561402960756553,0.0
